Id,Date,StepTotal,HoursAsleep,METs,SedentaryMinutes,LightlyActiveMinutes,FairlyActiveMinutes,VeryActiveMinutes,SedentaryActiveDistance,LightActiveDistance,ModeratelyActiveDistance,VeryActiveDistance,Calories,Heartrate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,weekend
1503960366,2016-04-12,13162,5.45,25241.0,728,328,13,25,0.0,6.05999994277954,0.550000011920929,1.87999999523163,1985,,13162,8.5,8.5,0.0,False
1503960366,2016-04-13,10735,6.4,22859.0,776,217,19,21,0.0,4.71000003814697,0.689999997615814,1.57000005245209,1797,,10735,6.96999979019165,6.96999979019165,0.0,False
1503960366,2016-04-15,9762,6.866666666666666,22190.0,726,209,34,29,0.0,2.82999992370605,1.25999999046326,2.14000010490417,1745,,9762,6.28000020980835,6.28000020980835,0.0,False
1503960366,2016-04-16,12669,5.666666666666667,23694.0,773,221,10,36,0.0,5.03999996185303,0.409999996423721,2.71000003814697,1863,,12669,8.15999984741211,8.15999984741211,0.0,True
1503960366,2016-04-17,9705,11.666666666666666,21972.0,539,164,20,38,0.0,2.50999999046326,0.779999971389771,3.19000005722046,1728,,9705,6.48000001907349,6.48000001907349,0.0,True
1503960366,2016-04-19,15506,5.066666666666666,25883.0,775,264,31,50,0.0,5.03000020980835,1.32000005245209,3.52999997138977,2035,,15506,9.88000011444092,9.88000011444092,0.0,False
1503960366,2016-04-20,10544,6.0,22716.0,818,205,12,28,0.0,4.23999977111816,0.479999989271164,1.96000003814697,1786,,10544,6.67999982833862,6.67999982833862,0.0,False
1503960366,2016-04-21,9819,5.416666666666667,22577.0,838,211,8,19,0.0,4.65000009536743,0.349999994039536,1.3400000333786,1775,,9819,6.34000015258789,6.34000015258789,0.0,False
1503960366,2016-04-23,14371,6.016666666666667,24786.0,732,262,21,41,0.0,5.3600001335144,0.870000004768372,2.80999994277954,1949,,14371,9.03999996185303,9.03999996185303,0.0,True
1503960366,2016-04-24,10039,7.166666666666667,22746.0,709,238,5,39,0.0,3.27999997138977,0.209999993443489,2.92000007629395,1788,,10039,6.40999984741211,6.40999984741211,0.0,True
1503960366,2016-04-25,15355,4.616666666666666,25596.0,814,216,14,73,0.0,3.94000005722046,0.569999992847443,5.28999996185303,2013,,15355,9.80000019073486,9.80000019073486,0.0,False
1503960366,2016-04-26,13755,4.083333333333333,25056.0,833,279,23,31,0.0,5.53999996185303,0.920000016689301,2.32999992370605,1970,,13755,8.78999996185303,8.78999996185303,0.0,False
1503960366,2016-04-28,13154,6.1,24141.0,782,189,28,48,0.0,3.78999996185303,1.1599999666214,3.53999996185303,1898,,13154,8.52999973297119,8.52999973297119,0.0,False
1503960366,2016-04-29,11181,5.683333333333334,23365.0,815,243,12,16,0.0,5.57999992370605,0.5,1.05999994277954,1837,,11181,7.15000009536743,7.15000009536743,0.0,False
1503960366,2016-04-30,14673,6.733333333333333,24763.0,712,217,34,52,0.0,4.26999998092651,1.41999995708466,3.55999994277954,1947,,14673,9.25,9.25,0.0,True
1503960366,2016-05-01,10602,6.15,23282.0,730,246,35,33,0.0,2.92000007629395,1.60000002384186,2.28999996185303,1820,,10602,6.80999994277954,6.80999994277954,0.0,True
1503960366,2016-05-03,15103,4.55,25477.0,816,254,24,50,0.0,4.88000011444092,1.04999995231628,3.73000001907349,1990,,15103,9.65999984741211,9.65999984741211,0.0,False
1503960366,2016-05-05,14070,4.116666666666666,25082.0,857,250,24,45,0.0,4.88000011444092,1.08000004291534,2.92000007629395,1959,,14070,8.89999961853027,8.89999961853027,0.0,False
1503960366,2016-05-06,12159,5.566666666666666,24272.0,754,289,6,24,0.0,5.80999994277954,0.25,1.97000002861023,1896,,12159,8.02999973297119,8.02999973297119,0.0,False
1503960366,2016-05-07,11992,5.516666666666667,23311.0,833,175,46,37,0.0,3.13000011444092,2.11999988555908,2.46000003814697,1821,,11992,7.71000003814697,7.71000003814697,0.0,True
1503960366,2016-05-08,10060,9.9,22275.0,574,203,8,44,0.0,2.73000001907349,0.319999992847443,3.52999997138977,1740,,10060,6.57999992370605,6.57999992370605,0.0,True
1503960366,2016-05-09,12022,5.633333333333334,23289.0,835,206,11,46,0.0,3.74000000953674,0.529999971389771,3.45000004768372,1819,,12022,7.71999979019165,7.71999979019165,0.0,False
1503960366,2016-05-10,12207,6.383333333333334,23798.0,746,214,31,46,0.0,3.25999999046326,1.1599999666214,3.34999990463257,1859,,12207,7.76999998092651,7.76999998092651,0.0,False
1503960366,2016-05-11,12770,4.75,22053.0,669,251,23,36,0.0,4.55000019073486,1.00999999046326,2.55999994277954,1783,,12770,8.13000011444092,8.13000011444092,0.0,False
1644430081,2016-04-29,3176,1.9833333333333334,17776.0,1193,120,0,0,0.0,2.30999994277954,0.0,0.0,2498,,3176,2.30999994277954,2.30999994277954,0.0,False
1644430081,2016-04-30,18213,2.066666666666667,27370.0,816,402,71,9,0.0,9.46000003814697,3.14000010490417,0.629999995231628,3846,,18213,13.2399997711182,13.2399997711182,0.0,True
1644430081,2016-05-02,3758,13.266666666666667,18048.0,682,148,7,1,0.0,2.34999990463257,0.310000002384186,0.0700000002980232,2580,,3758,2.73000001907349,2.73000001907349,0.0,False
1644430081,2016-05-08,6724,2.283333333333333,21262.0,991,295,0,0,0.0,4.88000011444092,0.0,0.0,2987,,6724,4.8899998664856,4.8899998664856,0.0,True
1844505072,2016-04-15,3844,10.733333333333333,18446.0,527,176,0,0,0.0,2.53999996185303,0.0,0.0,1725,,3844,2.53999996185303,2.53999996185303,0.0,False
